date,close,symbol
2015-12-07,55.81,MSFT
2015-12-08,55.79,MSFT
2015-12-09,54.98,MSFT
2015-12-10,55.27,MSFT
2015-12-11,54.06,MSFT
2015-12-14,55.14,MSFT
2015-12-15,55.2,MSFT
2015-12-16,56.13,MSFT
2015-12-17,55.7,MSFT
2015-12-18,54.13,MSFT
2015-12-21,54.83,MSFT
2015-12-22,55.35,MSFT
2015-12-23,55.82,MSFT
2015-12-24,55.67,MSFT
2015-12-28,55.95,MSFT
2015-12-29,56.55,MSFT
2015-12-30,56.31,MSFT
2015-12-31,55.48,MSFT
2016-01-04,54.8,MSFT
2016-01-05,55.05,MSFT
2016-01-06,54.05,MSFT
2016-01-07,52.17,MSFT
2016-01-08,52.33,MSFT
2016-01-11,52.3,MSFT
2016-01-12,52.78,MSFT
2016-01-13,51.64,MSFT
2016-01-14,53.11,MSFT
2016-01-15,50.99,MSFT
2016-01-19,50.56,MSFT
2016-01-20,50.79,MSFT
2016-01-21,50.48,MSFT
2016-01-22,52.29,MSFT
2016-01-25,51.79,MSFT
2016-01-26,52.17,MSFT
2016-01-27,51.22,MSFT
2016-01-28,52.055,MSFT
2016-01-29,55.09,MSFT
2016-02-01,54.71,MSFT
2016-02-02,53.0,MSFT
2016-02-03,52.16,MSFT
2016-02-04,52.0,MSFT
2016-02-05,50.16,MSFT
2016-02-08,49.41,MSFT
2016-02-09,49.28,MSFT
2016-02-10,49.71,MSFT
2016-02-11,49.69,MSFT
2016-02-12,50.5,MSFT
2016-02-16,51.09,MSFT
2016-02-17,52.42,MSFT
2016-02-18,52.19,MSFT
2016-02-19,51.82,MSFT
2016-02-22,52.65,MSFT
2016-02-23,51.18,MSFT
2016-02-24,51.36,MSFT
2016-02-25,52.1,MSFT
2016-02-26,51.3,MSFT
2016-02-29,50.88,MSFT
2016-03-01,52.58,MSFT
2016-03-02,52.95,MSFT
2016-03-03,52.35,MSFT
2016-03-04,52.03,MSFT
2016-03-07,51.03,MSFT
2016-03-08,51.65,MSFT
2016-03-09,52.84,MSFT
2016-03-10,52.05,MSFT
2016-03-11,53.07,MSFT
2016-03-14,53.17,MSFT
2016-03-15,53.59,MSFT
2016-03-16,54.35,MSFT
2016-03-17,54.66,MSFT
2016-03-18,53.49,MSFT
2016-03-21,53.86,MSFT
2016-03-22,54.07,MSFT
2016-03-23,53.97,MSFT
2016-03-24,54.21,MSFT
2016-03-28,53.54,MSFT
2016-03-29,54.71,MSFT
2016-03-30,55.05,MSFT
2016-03-31,55.23,MSFT
2016-04-01,55.57,MSFT
2016-04-04,55.43,MSFT
2016-04-05,54.56,MSFT
2016-04-06,55.12,MSFT
2016-04-07,54.46,MSFT
2016-04-08,54.42,MSFT
2016-04-11,54.31,MSFT
2016-04-12,54.65,MSFT
2016-04-13,55.35,MSFT
2016-04-14,55.36,MSFT
2016-04-15,55.65,MSFT
2016-04-18,56.46,MSFT
2016-04-19,56.39,MSFT
2016-04-20,55.59,MSFT
2016-04-21,55.78,MSFT
2016-04-22,51.78,MSFT
2016-04-25,52.11,MSFT
2016-04-26,51.44,MSFT
2016-04-27,50.94,MSFT
2016-04-28,49.9,MSFT
2016-04-29,49.87,MSFT
2016-05-02,50.61,MSFT
2016-05-03,49.78,MSFT
2016-05-04,49.87,MSFT
2016-05-05,49.94,MSFT
2016-05-06,50.39,MSFT
2016-05-09,50.07,MSFT
2016-05-10,51.02,MSFT
2016-05-11,51.05,MSFT
2016-05-12,51.51,MSFT
2016-05-13,51.08,MSFT
2016-05-16,51.83,MSFT
2016-05-17,50.51,MSFT
2016-05-18,50.81,MSFT
2016-05-19,50.32,MSFT
2016-05-20,50.62,MSFT
2016-05-23,50.03,MSFT
2016-05-24,51.59,MSFT
2016-05-25,52.12,MSFT
2016-05-26,51.89,MSFT
2016-05-27,52.32,MSFT
2016-05-31,53.0,MSFT
2016-06-01,52.85,MSFT
2016-06-02,52.48,MSFT
2016-06-03,51.79,MSFT
2016-06-06,52.13,MSFT
2016-06-07,52.1,MSFT
2016-06-08,52.04,MSFT
2016-06-09,51.62,MSFT
2016-06-10,51.48,MSFT
2016-06-13,50.14,MSFT
2016-06-14,49.83,MSFT
2016-06-15,49.69,MSFT
2016-06-16,50.39,MSFT
2016-06-17,50.13,MSFT
2016-06-20,50.07,MSFT
2016-06-21,51.19,MSFT
2016-06-22,50.99,MSFT
2016-06-23,51.91,MSFT
2016-06-24,49.83,MSFT
2016-06-27,48.43,MSFT
2016-06-28,49.44,MSFT
2016-06-29,50.54,MSFT
2016-06-30,51.17,MSFT
2016-07-01,51.16,MSFT
2016-07-05,51.17,MSFT
2016-07-06,51.38,MSFT
2016-07-07,51.38,MSFT
2016-07-08,52.3,MSFT
2016-07-11,52.59,MSFT
2016-07-12,53.21,MSFT
2016-07-13,53.51,MSFT
2016-07-14,53.74,MSFT
2016-07-15,53.7,MSFT
2016-07-18,53.96,MSFT
2016-07-19,53.09,MSFT
2016-07-20,55.91,MSFT
2016-07-21,55.8,MSFT
2016-07-22,56.57,MSFT
2016-07-25,56.73,MSFT
2016-07-26,56.76,MSFT
2016-07-27,56.19,MSFT
2016-07-28,56.21,MSFT
2016-07-29,56.68,MSFT
2016-08-01,56.58,MSFT
2016-08-02,56.58,MSFT
2016-08-03,56.97,MSFT
2016-08-04,57.39,MSFT
2016-08-05,57.96,MSFT
2016-08-08,58.06,MSFT
2016-08-09,58.2,MSFT
